,title,row2,row3,job_description,skills,row6,link
403,Consultant,"Analytic Edge
3.1
16 Reviews","2-4 Yrs
Not disclosed
Bengaluru","DESIRED QUALIFICATIONS: . Post graduate degree in Economics, Business, Statistics, Math...","['Operations research', 'customer analytics', 'Statistical analysis', 'SAS', 'Consulting', 'MS Office', 'Analytics', 'Quantitative analysis']","30+ Days Ago
Save",https://www.naukri.com/job-listings-consultant-analytic-edge-pvt-ltd-bengaluru-2-to-4-years-270722502154
404,Senior Engineer - Data Engineering,"Ascendion Engineering
4.1
84 Reviews","6-10 Yrs
Not disclosed
Bengaluru",Should be able to develop tabular and multidimensional models that are compatible with ...,"['Data analysis', 'MS SQL', 'Translation', 'Analytical', 'power bi', 'Application security', 'Business intelligence', 'Information technology']","30+ Days Ago
Save",https://www.naukri.com/job-listings-senior-engineer-data-engineering-ascendion-bengaluru-6-to-10-years-260523501380
405,Artificial intelligence Developer - Python / Machine Learning,"Mobile Programming
2.9
311 Reviews","4-8 Yrs
Not disclosed
Panchkula, Chennai, Bengaluru",Requirements :- 4+ years of hands-on experience in AI and Machine LearningExperience Le...,"['Artificial intelligence', 'model evaluation', 'ML algorithms', 'ML libraries', 'Machine Learning', 'Python', 'Intelligence', 'Development']","28 Days Ago
Save",https://www.naukri.com/job-listings-artificial-intelligence-developer-python-machine-learning-mobile-programming-llc-panchkula-chennai-bengaluru-4-to-8-years-260224900751
406,Information Security - Senior Analyst,"Uniphore Software Systems
3.6
69 Reviews","7-10 Yrs
Not disclosed
Pune, Chennai, Bengaluru","Bachelors degree in computer science, Information Technology, or a related fieldThe abi...","['Automation', 'Cisa', 'Testing tools', 'Information security', 'SOC', 'ISO 27001', 'Information technology', 'Auditing']","30+ Days Ago
Save",https://www.naukri.com/job-listings-information-security-senior-analyst-uniphore-pune-chennai-bengaluru-7-to-10-years-251023501284
407,Data Science with Python,Coders Brain Pvt Ltd,"5-12 Yrs
Not disclosed
Bengaluru",Strong Python programming skills . Hands-on experience with common data science and com...,"['Computer vision', 'deep learning', 'data science', 'devops', 'Machine learning', 'Data collection', 'Programming', 'big data']","30+ Days Ago
Save",https://www.naukri.com/job-listings-data-science-with-python-coders-brain-pvt-ltd-bengaluru-5-to-12-years-250823500639
408,Sr . Analytics Analyst,Boundaryless,"5-10 Yrs
Not disclosed
Bengaluru","As a Business Analytics Int Analyst (C11), we are seeking an experienced analytics can...","['Automation', 'Coding', 'Project management', 'Social media', 'Business analytics', 'Machine learning', 'Information management', 'Financial services']","30+ Days Ago
Save",https://www.naukri.com/job-listings-sr-analytics-analyst-boundaryless-bengaluru-5-to-10-years-250423502116
409,Sr Analyst Performance & Insights - 1,"Target
4.3
559 Reviews","7-12 Yrs
Not disclosed
Bengaluru","Bachelor s degree in a quantitative field (computer science, statistics or related) . T...","['Qualitative research', 'Analytical skills', 'Analyst', 'Automation', 'Excel', 'Consulting', 'Manager Quality Control', 'Adobe']","30+ Days Ago
Save",https://www.naukri.com/job-listings-sr-analyst-performance-insights-1-target-corporation-india-pvt-ltd-bengaluru-7-to-12-years-241023500105
410,Intermediate Data Science Specialist,Camp Dresser & Mckee,"3-7 Yrs
Not disclosed
Bengaluru","AI Model Development: Design, develop, and implement cutting-edge machine learning a...","['Data analysis', 'data science', 'SAS', 'Analytical', 'Machine learning', 'Information management', 'SQL', 'Python']","30+ Days Ago
Save",https://www.naukri.com/job-listings-intermediate-data-science-specialist-camp-dresser-and-mckee-india-pvt-ltd-bengaluru-3-to-7-years-231023501576
411,Computer Vision Embedded Engineer,"Vimaan Robotics
3.3
11 Reviews","1-6 Yrs
Not disclosed
Bengaluru","As company is scaling its products across various customer facilities, you as Module...","['Supply chain', 'Computer vision', 'C++', 'FPGA', 'Analytical', 'Machine learning', 'Apache', 'Robotics']","30+ Days Ago
Save",https://www.naukri.com/job-listings-computer-vision-embedded-engineer-vimaan-robotics-bengaluru-1-to-6-years-230224502150
412,Analyst,"Media Iq Digital
3.1
66 Reviews","1-3 Yrs
Not disclosed
Bengaluru","Bachelor s degree in engineering or equivalent quantitative field (such as Statistics, ...","['Analyst', 'Data analysis', 'Automation', 'Bidding', 'Healthcare', 'Market research', 'Data processing', 'Operations']","30+ Days Ago
Save",https://www.naukri.com/job-listings-analyst-miq-digital-bengaluru-1-to-3-years-230224501315
